timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1784664071.112000,-79.28,9.72,-12.29,26.24,11.07,11.07,-14.60,10.67,-4.15,-5.40,2.13,0.39,7.80,12.31,6.80,-19.23
1784664071.112000,-23.41,12.06,-9.48,18.53,6.39,7.84,-8.70,19.32,-5.87,-3.38,2.03,-4.40,2.75,17.26,7.74,-18.94
1784664071.116000,112.97,1.11,2.91,11.35,6.75,1.96,6.64,31.83,-1.98,7.58,4.55,12.36,5.98,23.75,7.98,2.07
1784664071.116000,254.65,-19.01,19.74,10.16,13.70,-5.99,22.60,47.96,5.86,18.54,7.64,43.68,16.41,32.53,7.39,38.93
1784664071.120000,339.30,-36.02,33.24,17.43,24.14,-13.12,31.60,66.07,12.42,21.10,8.99,70.83,26.20,43.25,6.56,74.86
1784664071.120000,341.09,-35.20,32.48,27.93,31.14,-13.81,30.57,79.55,12.19,11.46,7.46,72.42,26.10,51.74,6.20,82.27
1784664071.164000,270.72,-11.96,10.45,30.61,28.93,-4.27,21.23,83.13,3.92,-4.29,3.98,40.21,13.78,53.96,6.32,46.50
1784664071.164000,176.89,18.71,-23.20,20.39,18.96,11.55,9.76,79.81,-7.76,-10.97,1.19,-7.11,-3.00,51.35,6.70,-5.23
1784664071.167000,124.47,32.12,-43.51,5.26,9.01,22.79,3.75,74.92,-15.86,1.15,1.17,-33.85,-12.46,48.14,7.78,-21.65
1784664071.167000,137.94,18.42,-33.42,-1.22,5.54,21.68,5.82,64.76,-16.71,22.10,3.01,-21.95,-9.39,43.81,10.35,10.52
1784664071.171000,158.54,-5.34,-4.75,4.82,6.30,12.83,8.82,38.33,-14.02,30.38,3.52,7.59,-0.88,31.96,13.97,43.97
1784664071.171000,84.35,-13.42,12.31,11.10,2.01,8.61,0.66,-4.03,-16.55,17.44,1.20,18.35,1.09,10.49,16.43,30.47
1784664071.174000,-112.97,-0.08,2.48,2.71,-11.53,14.21,-22.15,-38.20,-28.23,-1.92,-1.50,0.90,-6.01,-9.45,15.66,-13.20
1784664071.174000,-325.39,15.99,-18.91,-18.67,-25.38,21.97,-47.06,-34.72,-41.76,-7.43,-1.20,-19.25,-12.56,-11.42,12.05,-24.39
1784664071.221000,-407.14,15.32,-25.62,-34.87,-26.34,22.21,-56.88,8.14,-45.53,3.84,2.08,-15.38,-9.35,7.91,8.36,25.56
1784664071.221000,-328.61,-0.94,-9.40,-30.61,-12.07,14.79,-47.82,59.77,-35.97,17.99,5.28,10.00,1.79,34.06,7.62,96.29
1784664071.341000,-192.94,-14.32,13.54,-9.67,5.69,6.85,-31.74,87.97,-21.36,22.73,6.26,30.48,11.33,49.74,10.60,128.14
1784664071.341000,-111.38,-9.48,20.79,8.41,12.15,3.45,-21.72,86.10,-14.10,18.33,5.55,24.86,12.48,49.93,14.87,104.79
1784664071.344000,-99.52,10.05,6.70,7.59,3.66,4.02,-19.71,69.28,-18.84,12.28,4.79,-1.19,6.63,41.58,17.28,56.72
1784664071.344000,-90.05,26.08,-12.21,-8.22,-8.74,5.80,-17.88,52.76,-28.06,9.77,4.74,-21.56,0.70,33.17,17.37,21.14
1784664071.348000,-21.15,25.31,-15.73,-19.74,-11.02,7.70,-9.09,38.30,-30.34,9.25,4.85,-17.65,0.14,26.62,17.31,8.83
1784664071.348000,85.83,13.00,-2.27,-14.22,-1.34,11.08,4.00,17.82,-23.04,5.07,3.90,2.16,3.43,17.49,18.41,1.55
